"Worm Data","Position (um) of Centroid"
"Sequence","VID00069.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y"
17,0.64000000000000001,2319.0574175062475,8696.0776069309813,13579.797453259966,6154.7779436292985,14446.056255472862,5118.6196650279171
18,0.68000000000000005,2313.2239064296282,8694.2732473584801,13580.370278067157,6158.1123586704398,14444.08632046286,5118.238836755364
19,0.71999999999999997,2311.3462963124434,8693.2865759332071,13581.781773467312,6171.1898555968246,14438.98793501072,5118.791925405545
20,0.76000000000000001,2310.1325161875002,8693.0219608617408,13582.530151677365,6179.0348614032173,14437.13761261553,5119.8975285376655
21,0.80000000000000004,2302.4552393131125,8689.2168121819068,13582.242670627418,6192.2711906204368,14431.362509010061,5122.6164328975792
22,0.83999999999999997,2302.2248238689731,8689.6509213516347,13583.120996314759,6199.9115125853559,14431.514169005333,5122.1132990860015
23,0.88,2299.9426485379686,8688.5353069883731,13580.417158813658,6219.8836623626185,14420.762890673584,5125.58626935557
24,0.92000000000000004,2298.1927908718626,8687.9174670148077,13580.257176038713,6221.7891981214307,14412.980885845063,5128.2528316470525
25,0.95999999999999996,2306.4252605366123,8693.835439161805,13578.054100103442,6230.9748469090482,14406.744528923222,5129.7870134244413
26,1,2296.9415756803864,8687.9029938272179,13573.954899939492,6244.5872412641929,14390.329735462623,5132.7779560778317
27,1.04,2299.265249585666,8689.165765589154,13571.375841327717,6252.0476749205063,14385.415280788349,5134.7201200001655
28,1.0800000000000001,2296.0297365855445,8686.950087480318,13570.052760216147,6255.4989923360727,14381.104043062449,5134.9748463749465
29,1.1200000000000001,2296.1074624477424,8688.2858040747124,13562.984260728457,6272.2628315171351,14377.283193487265,5135.0798055610194
30,1.1599999999999999,2291.6038502404417,8685.9734664649532,13560.911162241597,6276.1521475754198,14371.129239787087,5135.0203300299418
31,1.2,2286.0672025100653,8684.2739244278764,13552.382351623059,6289.4162070581469,14373.153546872478,5133.9088195239301
32,1.24,2280.5474409454705,8682.3086392272162,13547.174196341683,6295.5303428376901,14370.165532572806,5134.7164441316663
33,1.28,2281.6312334981621,8683.3424278076054,13544.407086145122,6301.2769980347384,14369.091215541197,5132.6312772445099
34,1.3200000000000001,2280.2175420287526,8682.1766635354834,13536.822535579427,6309.9722293834075,14369.066207935361,5132.679227008497
35,1.3600000000000001,2276.2354904630706,8682.3768765474142,13532.166820664204,6314.8087161977783,14370.531218937067,5131.5905505846104
36,1.4000000000000001,2272.0339606415337,8681.3675699188152,13523.661745237239,6320.2255803287508,14368.265562522685,5132.1967427853142
37,1.4399999999999999,2271.097178956868,8680.5232892846143,13519.939769381079,6324.6360068866288,14370.083516095287,5131.922630226155
38,1.48,2264.9539022683584,8679.4702183125883,13517.088643039669,6327.3834601868093,14365.11428918377,5132.0365156905582
39,1.52,2257.1219249652063,8678.0686547836667,13513.266968204522,6331.3726723290474,14361.9412818951,5131.9494240510267
40,1.5600000000000001,2257.8107861168673,8678.4369232997124,13513.18109884468,6331.2075688953364,14370.542197347168,5131.4791207854405
41,1.6000000000000001,2251.9207810768494,8678.3775749348697,13497.791616367858,6337.6207088480824,14370.683367176536,5128.1165854625679
42,1.6400000000000001,2253.1210818415798,8678.6167845847503,13482.561506081522,6343.4714543766167,14360.999806860416,5130.2588980111586
43,1.6799999999999999,2253.0558905047851,8678.8936212704866,13482.985393502235,6344.2812869010349,14359.991104969653,5128.2634212690937
44,1.72,2251.0993677122169,8679.2669531342144,13483.027292237248,6344.2770987790918,14354.801976051715,5128.1065028061057
45,1.76,2249.9416292418482,8678.3721162718539,13467.153422043579,6349.3462330248094,14353.752757471915,5127.1411463107697
46,1.8,2246.9639719110251,8677.2669312696362,13483.029324840018,6344.3027225228716,14346.304025375512,5124.9603868547501
47,1.8400000000000001,2246.0579449785114,8677.3516051146307,13483.22070508202,6344.7960848895127,14346.797286736393,5123.5480322599597
48,1.8800000000000001,2250.5056762135623,8677.6857976609881,13467.37896330064,6349.9664872635822,14347.92742460465,5123.3336197195558
49,1.9199999999999999,2251.5683773206765,8677.8797811063505,13467.409570538432,6350.1345397926198,14346.066256049868,5120.098268989429
50,1.96,2255.0136072070986,8677.3749838072217,13483.642317341162,6346.6433459373075,14350.866548490651,5118.9063203298692
51,2,2258.5298392321492,8677.8228124248362,13420.819773384183,6356.0907805203333,14353.004239749363,5119.0694512349783
