"Worm Data","Position (um) of Centroid"
"Sequence","VID00143.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y","5 x","5 y","6 x","6 y"
13,0.47999999999999998,14973.290268926261,8108.4587831945828,16122.809933235811,7888.9908825731964,9870.5651749306999,7155.1079179046883,16450.169638121311,6534.2948168807416,6434.2530409391165,4028.3596325509479,1925.1839248123854,1656.1375521513601
14,0.52000000000000002,14967.396922162685,8095.0664639794177,16129.735137599888,7882.6678430123538,9877.1852738657963,7143.8540618106181,16439.933181874621,6545.7115230343024,6436.9432665394288,4031.5206077105513,1928.9402263001002,1657.9527728274988
15,0.56000000000000005,14958.899196280605,8079.5514354581192,16137.909331144621,7874.7388493397157,9878.1133194131344,7141.3863961773031,16434.131052860685,6550.9879312364028,6438.0985062161253,4037.3141662731005,1930.1910451435122,1656.3806505908196
16,0.59999999999999998,14955.405396149867,8065.9813714054835,16145.590641841569,7865.236928239945,9877.4450989580146,7144.2218582349742,16414.730542032903,6567.552780018631,6438.4617954123287,4039.4303909077807,1931.0693730979167,1657.3135508590276
17,0.64000000000000001,14952.178498719937,8054.30672395484,16157.535327049534,7846.4612208573453,9886.5577060542837,7132.3728894056931,16410.053798396642,6570.2525370708045,6438.9041567444956,4044.714773624507,1927.7763399525579,1657.20443809065
18,0.68000000000000005,14951.55283893142,8048.9128043855217,16153.44904570138,7852.52149451271,9892.1205491466826,7125.6396929944822,16400.781232846275,6577.8090804515432,6438.445480919404,4058.4440948629772,1957.658781433109,1661.9203378564071
19,0.71999999999999997,14947.069879815004,8037.2005521771462,16162.288958238492,7828.5783928070323,9881.5416183559137,7139.4410094049636,16395.87228125492,6582.7733953978823,6438.2547239116684,4063.8072331931735,1939.1131601321267,1659.6523005430063
20,0.76000000000000001,14942.876816483385,8022.7282515946608,16163.747543499543,7819.43749565092,9896.536809273035,7123.2355256520823,16394.114902705885,6580.0860528593448,6435.2666688610607,4073.1087895906567,1966.7889993657272,1665.6380374896562
21,0.80000000000000004,14939.463388595448,8007.8097842234656,16164.616478420005,7813.8008111061044,9900.8954072020861,7122.7774671882344,16384.346524613564,6589.0013162187261,6428.257450040709,4096.5817694423076,1950.5018286810694,1661.2363481789216
22,0.83999999999999997,14931.014694771,7985.718877834508,16162.023558917745,7801.3503741628956,9895.4104848438728,7129.3530115500853,16366.816092578516,6603.640119635771,6417.8264701312464,4120.2167185555627,1965.9271195768092,1666.2685509378771
23,0.88,14928.456285706643,7977.6439995315586,16159.488467893909,7787.0563992952557,9909.5989664113367,7119.7893863425506,16364.115066431217,6603.5113207048635,6410.6021379343292,4134.8763375056978,1952.7833788911546,1661.6522648057653
24,0.92000000000000004,14919.302685342038,7960.9037885988346,16158.358920358802,7779.4258760373032,9913.238776898379,7120.2339954998697,16345.536254158966,6619.8228440245512,6399.3796539666746,4153.6968306571925,1968.2982836577351,1666.0845723414022
25,0.95999999999999996,14915.898276541333,7951.7058766792261,16156.977085510385,7770.2167658486742,9922.9726519224241,7116.5109900057123,16348.581077463556,6615.3089051130846,6389.2964916054652,4171.4777824850271,1972.3254748927698,1667.8444559705749
26,1,14910.341530030029,7938.5868840894082,16155.148811059309,7764.2173585287128,9925.7019999483091,7116.403552522981,16341.35275429831,6620.9598156049988,6389.7233652854948,4171.3051320529394,1974.3178125092525,1669.9038299596177
27,1.04,14909.41022551579,7935.6496505115902,16152.983917755268,7749.6860120743122,9921.6413682846487,7118.8267280622422,16328.816014549289,6632.2862997640659,6365.8743537140626,4222.3666103618616,1957.2534826458223,1664.0991923393049
