"Worm Data","Position (um) of Centroid"
"Sequence","VID00181.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y"
20,0.76000000000000001,2034.4293514006197,8407.0818899503538,8233.1712484362306,7912.5133950850159,4573.8980233257407,7462.4506147395841,15303.53270577169,3025.0520257317667
21,0.80000000000000004,2047.0371859483405,8398.2524680509177,8241.1065856133719,7915.7221081122607,4557.568785749324,7455.3865338414562,15293.973550720884,3027.7812161101147
22,0.83999999999999997,2045.0971814835932,8401.1158364303574,8250.5560865132211,7920.0763839964538,4549.6276244397086,7463.0473572464634,15284.461158546981,3028.3367844609693
23,0.88,2048.2084080702557,8400.3527734993186,8245.5244448602298,7918.2668419268484,4545.3414706421127,7461.9826027646777,15273.844966460625,3029.5721432907494
24,0.92000000000000004,2049.3862360964381,8399.7413856355852,8244.1577099324895,7915.5359003565936,4538.5405107941797,7461.1634168180008,15266.359982756181,3028.2924109454952
25,0.95999999999999996,2047.0074735334213,8399.7697125952964,8257.6974974255045,7921.0873226002486,4528.5240015701947,7460.6489850901389,15257.137793703872,3028.5745737972402
26,1,2051.3386382755384,8398.0115758270786,8263.7539098616162,7921.0906113745714,4524.3587146945583,7460.4406261824224,15247.150058536175,3026.7785722015842
27,1.04,2053.1639232542743,8396.6873585407448,8264.3760742795603,7921.1861012263325,4522.1985893928331,7459.9565083208427,15236.001191221379,3024.7625432151344
28,1.0800000000000001,2055.3869046928739,8396.8372443349072,8272.6258951950003,7920.6902168125107,4516.7873149252855,7461.3947325615445,15219.022136599951,3018.5100565094617
29,1.1200000000000001,2057.5041589143966,8394.1901039097374,8276.843874788854,7921.7433521485091,4503.680824116781,7462.1323004415126,15212.097676072695,3015.7385332867061
30,1.1599999999999999,2063.5391659474662,8391.9550012122145,8282.6340916909812,7921.8433294878741,4501.4541200918184,7462.6107539790282,15202.514178766567,3011.6179499028367
31,1.2,2076.7412186352294,8384.2750484584394,8291.83464860817,7924.0943302221149,4484.2383371387759,7463.9899301776513,15194.850615281697,3005.6799132564165
32,1.24,2070.6932013504338,8385.1160104457849,8295.1294014760824,7923.5664237410492,4488.4806563962675,7466.5304896871403,15185.595389933269,3002.1131112585999
33,1.28,2076.6096855054871,8383.2445009144012,8295.3688576285203,7924.5792622789204,4481.6411941796423,7468.939314609499,15176.719381386978,2994.551372655078
34,1.3200000000000001,2078.3905653836159,8379.2361191960863,8300.0495987934228,7924.3784044929889,4479.1384075997639,7468.7033623875586,15170.484627736283,2988.8240503274365
35,1.3600000000000001,2087.8707232687998,8374.5460949408189,8304.1546807441955,7925.0298852045962,4467.7745709311339,7472.5301506631167,15163.456030714591,2984.5755781403986
36,1.4000000000000001,2092.6442968638735,8369.9161584154717,8302.2717454680023,7924.8592593590593,4466.864874050525,7473.7001517268127,15139.702633551438,2968.7030666657647
37,1.4399999999999999,2096.8343060120696,8366.3708480132063,8306.0048985688627,7923.3229771724145,4456.7199951451375,7476.4320523065544,15145.02351740929,2969.5000298183768
38,1.48,2103.7982426971384,8358.9603144144567,8300.5955986718782,7922.8418137164008,4434.3006325565193,7482.9717397566155,15109.310154668496,2944.3259964576755
39,1.52,2104.1200025747548,8358.2161618555529,8302.9928832885744,7922.7575473232973,4426.1225747707022,7485.9062883452989,15122.84355660775,2949.1101401082087
