"Worm Data","Position (um) of Centroid"
"Sequence","VID00115.AVI"

,,"Track"
"Frame","Time","1 x","1 y"
100,3.96,8541.3665707141245,4294.4534884569375
101,4,8545.3135080630836,4288.94909434703
102,4.04,8547.5334797456017,4286.2175616264194
103,4.0800000000000001,8538.713508661669,4298.8852196356684
104,4.1200000000000001,8549.0835287668815,4285.0686570995231
105,4.1600000000000001,8557.6058955244789,4277.371823768699
106,4.2000000000000002,8565.6265729132228,4270.2091729295807
107,4.2400000000000002,8566.1204360124593,4269.1776674083667
108,4.2800000000000002,8569.7020207372843,4267.4945363458046
109,4.3200000000000003,8571.6504365244855,4266.3473341950112
110,4.3600000000000003,8570.3804139951717,4267.8115605536086
111,4.4000000000000004,8576.4584011531952,4264.1644449202486
112,4.4400000000000004,8584.053426497514,4260.4449314013382
113,4.4800000000000004,8587.6855857465634,4259.61562171077
114,4.5200000000000005,8591.1317724029195,4257.927906451152
