"Worm Data","Position (um) of Centroid"
"Sequence","VID00109.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y"
17,0.64000000000000001,11419.288939906965,6139.2364826413723,5839.9234031469805,5547.4611963755106,6683.5776759792025,4746.7917832694857
18,0.68000000000000005,11423.009469445613,6135.889866517362,5829.8004839223922,5554.0086341091646,6684.8657841767599,4747.1754926359636
19,0.71999999999999997,11420.493575818517,6136.9253488333889,5824.8553787301635,5555.0849202983845,6683.7589642233479,4761.5643930038577
20,0.76000000000000001,11420.764781401205,6138.8591330114969,5846.9607502408162,5543.9737418957275,6687.2652303573805,4746.3234318101513
21,0.80000000000000004,11423.618946790146,6134.5852349780243,5829.754402280113,5552.3476444634762,6684.6943447765625,4758.4255417613267
22,0.83999999999999997,11416.640474052594,6145.3194592887594,5847.3078802759719,5544.5671061550984,6684.0064237385241,4765.869841716627
23,0.88,11418.991162257624,6141.117587637058,5849.4850906533356,5541.5589212782579,6686.0395153386453,4758.4270045882613
24,0.92000000000000004,11431.704031874169,6124.8440895374479,5844.0577171092045,5546.5548843074221,6685.7983133827756,4755.2508632323988
25,0.95999999999999996,11428.530172294393,6127.8044644747206,5853.0311163725455,5541.6307175014254,6686.8330484864364,4752.7468022797384
26,1,11430.151517347729,6125.0826370671084,5850.8637863619006,5541.4409504471087,6686.9588683565817,4754.8315048618542
27,1.04,11434.435355058427,6115.7492150362668,5848.7371477259985,5542.5367781520918,6689.9497976575294,4746.2958234258822
28,1.0800000000000001,11432.097325439225,6120.1965714156559,5853.0773019808657,5541.7333048472101,6691.1757870814081,4743.1014414997035
29,1.1200000000000001,11440.269921339122,6106.3290116769494,5851.054965355409,5543.0822839354323,6688.7379712957127,4754.7107843534031
30,1.1599999999999999,11441.986707412423,6103.7936265700791,5853.7140372058466,5543.9426850676145,6689.9105600827525,4744.7173594635269
31,1.2,11440.718263562208,6107.8725075774109,5849.2046208804759,5543.9310464230921,6690.4046675482396,4747.6990655119916
32,1.24,11440.219721311043,6105.9544903073202,5850.2609810368767,5541.7918650459778,6691.4228022913921,4743.3208391645949
33,1.28,11444.951912020615,6086.792099847984,5851.7321682373395,5541.3000315190639,6692.586875537846,4735.6577881087833
34,1.3200000000000001,11444.189318508277,6082.1880716861697,5857.289213247017,5539.4173665128355,6694.9784478014444,4731.0206060913379
35,1.3600000000000001,11445.875386615962,6076.3898068459748,5860.0944049066957,5536.4663623254701,6695.1415050249716,4723.7071049064416
36,1.4000000000000001,11446.541738166385,6072.035138632531,5862.4720966365257,5536.9172739421911,6697.4070979007165,4718.6415757641735
37,1.4399999999999999,11446.388233055954,6068.2095001396256,5851.8342353833605,5541.8605901964593,6698.0059706078655,4717.209156207844
38,1.48,11447.292569299887,6064.5958977495939,5865.1974284188118,5536.6482851276842,6698.0084583520602,4715.9792962051861
39,1.52,11448.605865669482,6054.6499805405147,5863.5252331960701,5536.3720225859915,6701.9688284896247,4702.8962587272918
40,1.5600000000000001,11448.215266790472,6050.7969807026666,5868.8599344574395,5533.6683432125028,6705.2205597472175,4683.2554463958695
41,1.6000000000000001,11447.880869551889,6049.7076664469023,5863.2730692863734,5536.2565175525997,6701.6169462032158,4707.2608064086271
42,1.6400000000000001,11452.00055116646,6032.6091418135675,5867.4108181826132,5532.8570651367054,6705.0698638493359,4693.8188515916272
43,1.6799999999999999,11453.856408885005,6027.4541212719105,5869.168460018419,5532.5372789654639,6707.1943620321163,4676.7635459676758
44,1.72,11456.630953619935,6020.7134089211631,5865.8065594645968,5534.1387435678735,6707.9492722353461,4676.0184075672278
45,1.76,11457.530390125754,6013.5390602610423,5871.0481752363348,5532.17434561963,6707.4996511980135,4676.3409640892105
46,1.8,11459.679299537387,6009.9896441721012,5870.5632919548052,5532.9747817509278,6707.4638037170298,4679.4067886099892
47,1.8400000000000001,11462.372756193527,6004.4046060084638,5871.9774269672762,5532.7773195208065,6707.8323189447829,4671.4517123932264
48,1.8800000000000001,11469.122024424405,5993.8287121604626,5873.844544282093,5532.0009681867496,6707.4151432953313,4662.067997614563
49,1.9199999999999999,11458.207006412822,6004.6667443312008,5874.9035089068348,5530.3723058494761,6707.2040109377658,4669.0458819585265
50,1.96,11474.945725806663,5983.9454211395796,5869.6718487339567,5530.7753358414921,6708.0050709828765,4658.6502411483225
